Procedura,Algoritmo,Best Params
Grid Search,Random Forest,"{'criterion': 'gini', 'max_depth': 15, 'n_estimators': 30}"
Grid Search,SVM,"{'C': 10, 'kernel': 'rbf'}"
Grid Search,KNN,{'n_neighbors': 3}
Grid Search,ANN,"{'activation': 'relu', 'batch_size': 32, 'epochs': 20, 'optimizer': 'sgd'}"
Random Search,Random Forest,"{'criterion': 'gini', 'max_depth': 32, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 88}"
Random Search,SVM,"{'C': 17.109645047134624, 'kernel': 'rbf'}"
Random Search,KNN,{'n_neighbors': 3}
Random Search,ANN,"{'activation': 'relu', 'batch_size': 64, 'epochs': 20, 'neurons': 61, 'optimizer': 'rmsprop', 'patience': 3}"
Hyperband,Random Forest,"{'max_depth': 39, 'max_features': 7, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}"
Hyperband,SVM,"{'C': 2.1179369048309455, 'gamma': 0.014070110004463256, 'kernel': 'poly'}"
Hyperband,KNN,"{'n_neighbors': 6, 'weights': 'distance'}"
Hyperband,ANN,"{'epochs': 36, 'batch_size': 19, 'units': 176, 'activation': 'relu', 'optimizer': 'rmsprop'}"
Bayesian Optimization,Random Forest,"OrderedDict([('criterion', 'gini'), ('max_depth', 31), ('max_features', 13), ('min_samples_leaf', 1), ('min_samples_split', 4), ('n_estimators', 64)])"
Bayesian Optimization,SVM,"OrderedDict([('C', 7.732902151801463), ('kernel', 'rbf')])"
Bayesian Optimization,KNN,"OrderedDict([('n_neighbors', 4)])"
Bayesian Optimization,ANN,"OrderedDict([('activation', 'relu'), ('batch_size', 32), ('epochs', 20), ('neurons', 96), ('optimizer', 'rmsprop'), ('patience', 9)])"
Sequential Model-Based Optimization (skopt),Random Forest,"{'n_estimators': 75, 'max_depth': 31, 'max_features': 35, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'gini'}"
Sequential Model-Based Optimization (skopt),SVM,"{'C': 25.29734037196189, 'kernel': 'rbf'}"
Sequential Model-Based Optimization (skopt),KNN,{'n_neighbors': 12}
Sequential Model-Based Optimization (skopt),ANN,"{'optimizer': 'sgd', 'activation': 'relu', 'neurons': 87, 'patience': 20, 'batch_size': 16, 'epochs': 50}"
Bayesian Optimization (scikit-optimize),Random Forest,"{'criterion': 'gini', 'max_depth': 42.0, 'max_features': 47.0, 'min_samples_leaf': 3.0, 'min_samples_split': 6.0, 'n_estimators': 75.0}"
Bayesian Optimization (scikit-optimize),SVM,"{'C': 21.38515332833493, 'kernel': 'rbf'}"
Bayesian Optimization (scikit-optimize),KNN,{'n_neighbors': 12.0}
Bayesian Optimization (scikit-optimize),ANN,"{'activation': 'relu', 'batch_size': 64.0, 'epochs': 20.0, 'loss': 'sparse_categorical_crossentropy', 'neurons': 100.0, 'optimizer': 'adam', 'patience': 12.0}"
Particle Swarm Optimization,Random Forest,"{'n_estimators': 71.02231467602945, 'max_features': 5.251269531250003, 'max_depth': 27.94384765625, 'min_samples_split': 7.687338239427402, 'min_samples_leaf': 1.4175619354967177, 'criterion': 0.8353668545977795}"
Particle Swarm Optimization,SVM,"{'C': 40.3564453125, 'kernel': 2.220703125}"
Particle Swarm Optimization,KNN,{'n_neighbors': 3.40283203125}
Particle Swarm Optimization,ANN,"{'optimizer': 2.6484375, 'activation': 0.578125, 'batch_size': 1.296875, 'neurons': 78.203125, 'epochs': 38.046875, 'patience': 8.4453125}"
Genetic Algorithm,Random Forest,"{'n_estimators': 65, 'max_features': 6, 'max_depth': 24, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'entropy'}"
Genetic Algorithm,SVM,"{'C': 37.05014706084677, 'kernel': 'rbf'}"
Genetic Algorithm,KNN,{'n_neighbors': 3}
Genetic Algorithm,ANN,"{'model__optimizer': 'rmsprop', 'model__activation': 'tanh', 'model__neurons': 98, 'batch_size': 16, 'epochs': 20}"
TPOT,Random Forest,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=RandomForestClassifier(max_depth=15,
                                                                    max_features=3,
                                                                    min_samples_split=9,
                                                                    n_estimators=44))),
                ('randomforestclassifier',
                 RandomForestClassifier(criterion='entropy', max_depth=52,
                                        max_features=16, min_samples_leaf=8,
                                        min_samples_split=8,
                                        n_estimators=118))])"
TPOT,SVM,"Pipeline(steps=[('featureunion',
                 FeatureUnion(transformer_list=[('functiontransformer-1',
                                                 FunctionTransformer(func=<function copy at 0x7d7dc5d85990>)),
                                                ('functiontransformer-2',
                                                 FunctionTransformer(func=<function copy at 0x7d7dc5d85990>))])),
                ('svc', SVC(C=40.20703872344289, probability=True))])"
TPOT,KNN,"Pipeline(steps=[('kneighborsclassifier', KNeighborsClassifier(n_neighbors=3))])"
TPOT,ANN,"Pipeline(steps=[('mlpclassifier',
                 MLPClassifier(alpha=0.1, hidden_layer_sizes=(50, 50),
                               learning_rate='invscaling', solver='lbfgs'))])"
