Procedura,Algoritmo,Best Params
Grid Search,Random Forest,"{'max_depth': 15, 'n_estimators': 30}"
Grid Search,SVM,"{'C': 100, 'epsilon': 1, 'kernel': 'rbf'}"
Grid Search,KNN,{'n_neighbors': 3}
Grid Search,ANN,"{'activation': 'relu', 'batch_size': 32, 'epochs': 50, 'loss': 'mse', 'neurons': 32, 'optimizer': 'rmsprop', 'patience': 5}"
Random Search,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 24, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 88}"
Random Search,SVM,"{'C': 44.70420771852084, 'epsilon': 0.7364700356784571, 'kernel': 'rbf'}"
Random Search,KNN,{'n_neighbors': 5}
Random Search,ANN,"{'activation': 'relu', 'batch_size': 64, 'epochs': 50, 'loss': 'mse', 'neurons': 74, 'optimizer': 'rmsprop', 'patience': 10}"
Hyperband,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 26, 'max_features': 2, 'min_samples_leaf': 1, 'min_samples_split': 4}"
Hyperband,SVM,"{'C': 0.9495710534507421, 'gamma': 'scale', 'kernel': 'rbf'}"
Hyperband,KNN,{'n_neighbors': 5}
Hyperband,ANN,"{'activation': 'relu', 'alpha': 0.5521934699224066, 'batch_size': 16, 'early_stopping': True, 'hidden_layer_sizes': (52,), 'learning_rate': 'constant', 'learning_rate_init': 0.21015702948084114, 'max_iter': 100, 'solver': 'adam', 'validation_fraction': 0.1}"
Bayesian Optimization,Random Forest,"OrderedDict([('criterion', 'poisson'), ('max_depth', 50), ('max_features', 8), ('min_samples_leaf', 1), ('min_samples_split', 11), ('n_estimators', 10)])"
Bayesian Optimization,SVM,"OrderedDict([('C', 41.121922737663766), ('epsilon', 1.0), ('kernel', 'rbf')])"
Bayesian Optimization,KNN,"OrderedDict([('n_neighbors', 3)])"
Bayesian Optimization,ANN,"OrderedDict([('activation', 'relu'), ('batch_size', 64), ('epochs', 20), ('loss', 'mse'), ('neurons', 42), ('optimizer', 'adam'), ('patience', 18)])"
Sequential Model-Based Optimization (skopt),Random Forest,"[100, 5, 4, 11, 1, 'friedman_mse']"
Sequential Model-Based Optimization (skopt),SVM,"[40.99924581758808, 'rbf', 0.6438934815599335]"
Sequential Model-Based Optimization (skopt),KNN,[8]
Sequential Model-Based Optimization (skopt),ANN,"{'optimizer': 'adam', 'activation': 'tanh', 'neurons': 100, 'patience': 20, 'loss': 'mse'}"
Bayesian Optimization TPE,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 25.0, 'max_features': 3.0, 'min_samples_leaf': 1.0, 'min_samples_split': 3.0, 'n_estimators': 48.0}"
Bayesian Optimization TPE,SVM,"{'C': 68.04711143460295, 'epsilon': 0.5448840950222704, 'kernel': 'rbf'}"
Bayesian Optimization TPE,KNN,{'n_neighbors': 3.0}
Bayesian Optimization TPE,ANN,"{'activation': 'relu', 'batch_size': 16.0, 'epochs': 50.0, 'loss': 'mse', 'neurons': 80.0, 'optimizer': 'adam', 'patience': 6.0}"
