Procedura,Algoritmo,Best Params
Grid Search,Random Forest,"{'max_depth': 15, 'n_estimators': 20}"
Grid Search,SVM,"{'C': 1, 'epsilon': 0.1, 'kernel': 'rbf'}"
Grid Search,KNN,{'n_neighbors': 5}
Grid Search,ANN,"{'activation': 'tanh', 'batch_size': 16, 'epochs': 20, 'loss': 'mse', 'neurons': 32, 'optimizer': 'adam', 'patience': 2}"
Random Search,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 35, 'max_features': 8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 16}"
Random Search,SVM,"{'C': 20.648320259978536, 'epsilon': 0.04642801044695588, 'kernel': 'rbf'}"
Random Search,KNN,{'n_neighbors': 4}
Random Search,ANN,"{'activation': 'tanh', 'batch_size': 32, 'epochs': 20, 'loss': 'mse', 'neurons': 90, 'optimizer': 'rmsprop', 'patience': 15}"
Hyperband,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 41, 'max_features': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}"
Hyperband,SVM,"{'C': 0.9495710534507421, 'gamma': 'scale', 'kernel': 'rbf'}"
Hyperband,KNN,{'n_neighbors': 4}
Hyperband,ANN,"{'activation': 'tanh', 'alpha': 0.27165376760614585, 'batch_size': 64, 'early_stopping': True, 'hidden_layer_sizes': (23,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.02649734896729483, 'max_iter': 50, 'solver': 'adam', 'validation_fraction': 0.1}"
Bayesian Optimization,Random Forest,"OrderedDict([('criterion', 'squared_error'), ('max_depth', 30), ('max_features', 13), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 19)])"
Bayesian Optimization,SVM,"OrderedDict([('C', 31.742779464848265), ('epsilon', 0.2562638233141799), ('kernel', 'rbf')])"
Bayesian Optimization,KNN,"OrderedDict([('n_neighbors', 6)])"
Bayesian Optimization,ANN,"OrderedDict([('activation', 'tanh'), ('batch_size', 32), ('epochs', 20), ('loss', 'mse'), ('neurons', 75), ('optimizer', 'adam'), ('patience', 14)])"
Sequential Model-Based Optimization (skopt),Random Forest,"[100, 50, 3, 2, 1, 'friedman_mse']"
Sequential Model-Based Optimization (skopt),SVM,"[40.927328815023984, 'rbf', 0.32631377794997257]"
Sequential Model-Based Optimization (skopt),KNN,[6]
Sequential Model-Based Optimization (skopt),ANN,"{'optimizer': 'rmsprop', 'activation': 'tanh', 'neurons': 89, 'patience': 15, 'loss': 'mse'}"
Bayesian Optimization TPE,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 13.0, 'max_features': 7.0, 'min_samples_leaf': 2.0, 'min_samples_split': 9.0, 'n_estimators': 81.0}"
Bayesian Optimization TPE,SVM,"{'C': -72.30193113351646, 'epsilon': 0.2476345155080034, 'kernel': 'rbf'}"
Bayesian Optimization TPE,KNN,{'n_neighbors': 5.0}
Bayesian Optimization TPE,ANN,"{'activation': 'tanh', 'batch_size': 16.0, 'epochs': 50.0, 'loss': 'mse', 'neurons': 90.0, 'optimizer': 'rmsprop', 'patience': 12.0}"
Particle Swarm Optimization,Random Forest,"{'n_estimators': 94.55078125, 'max_features': 3.2578125, 'max_depth': 26.181640625, 'min_samples_split': 3.529296875, 'min_samples_leaf': 1.33203125}"
Particle Swarm Optimization,SVM,"{'C': 5.04823854097306, 'kernel': 1.07324420834283, 'epsilon': 0.07295449666249232}"
Particle Swarm Optimization,KNN,{'n_neighbors': 6.3623046875}
Particle Swarm Optimization,ANN,"{'optimizer': 0.4997411892354678, 'activation': 0.7005830271273215, 'loss': 0.47080078125, 'batch_size': 0.41611328125, 'neurons': 62.6376953125, 'epochs': 36.89810495881132, 'patience': 13.32783203125}"
Genetic Algorithm,Random Forest,"{'n_estimators': 80, 'max_features': 2, 'max_depth': 9, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'squared_error'}"
Genetic Algorithm,SVM,"{'C': 0.25981337666895477, 'kernel': 'rbf', 'epsilon': 0.2533042280685821}"
Genetic Algorithm,KNN,{'n_neighbors': 5}
Genetic Algorithm,ANN,"{'optimizer': 'adam', 'activation': 'tanh', 'loss': 'mse', 'batch_size': 64, 'neurons': 98, 'epochs': 20, 'patience': 12}"
TPOT,Random Forest,"{'estimator__bootstrap': True, 'estimator__ccp_alpha': 0.0, 'estimator__criterion': 'squared_error', 'estimator__max_depth': 27, 'estimator__max_features': 6, 'estimator__max_leaf_nodes': None, 'estimator__max_samples': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 8, 'estimator__min_samples_split': 6, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__n_estimators': 32, 'estimator__n_jobs': None, 'estimator__oob_score': False, 'estimator__random_state': None, 'estimator__verbose': 0, 'estimator__warm_start': False, 'estimator': RandomForestRegressor(max_depth=27, max_features=6, min_samples_leaf=8,
                      min_samples_split=6, n_estimators=32)}"
TPOT,SVM,"{'C': 23.40267614390918, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.16930739036898457, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
TPOT,KNN,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
TPOT,ANN,"{'activation': 'logistic', 'alpha': 0.1, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100, 50), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'solver': 'lbfgs', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}"
