Procedura,Algoritmo,Best Params
Grid Search,Random Forest,"{'max_depth': 20, 'n_estimators': 30}"
Grid Search,SVM,"{'C': 100, 'epsilon': 1, 'kernel': 'poly'}"
Grid Search,KNN,{'n_neighbors': 7}
Grid Search,ANN,"{'activation': 'relu', 'batch_size': 32, 'epochs': 50, 'loss': 'mse', 'neurons': 32, 'optimizer': 'rmsprop', 'patience': 5}"
Random Search,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 22, 'max_features': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 79}"
Random Search,SVM,"{'C': 47.49184653756294, 'epsilon': 0.7088756576173316, 'kernel': 'poly'}"
Random Search,KNN,{'n_neighbors': 9}
Random Search,ANN,"{'activation': 'relu', 'batch_size': 32, 'epochs': 50, 'loss': 'mse', 'neurons': 39, 'optimizer': 'adam', 'patience': 19}"
Hyperband,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 36, 'max_features': 6, 'min_samples_leaf': 1, 'min_samples_split': 3}"
Hyperband,SVM,"{'C': 0.9495710534507421, 'gamma': 'scale', 'kernel': 'rbf'}"
Hyperband,KNN,{'n_neighbors': 3}
Hyperband,ANN,"{'activation': 'relu', 'alpha': 0.9689627652602737, 'batch_size': 16, 'early_stopping': True, 'hidden_layer_sizes': (34,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.09825992706317388, 'max_iter': 100, 'solver': 'adam', 'validation_fraction': 0.1}"
Bayesian Optimization,Random Forest,"OrderedDict([('criterion', 'squared_error'), ('max_depth', 28), ('max_features', 9), ('min_samples_leaf', 5), ('min_samples_split', 4), ('n_estimators', 44)])"
Bayesian Optimization,SVM,"OrderedDict([('C', 46.32627238426251), ('epsilon', 1.0), ('kernel', 'poly')])"
Bayesian Optimization,KNN,"OrderedDict([('n_neighbors', 8)])"
Bayesian Optimization,ANN,"OrderedDict([('activation', 'relu'), ('batch_size', 32), ('epochs', 20), ('loss', 'mse'), ('neurons', 55), ('optimizer', 'rmsprop'), ('patience', 12)])"
Sequential Model-Based Optimization (skopt),Random Forest,"[100, 50, 13, 2, 1, 'friedman_mse']"
Sequential Model-Based Optimization (skopt),SVM,"[46.92796758780931, 'poly', 1.0]"
Sequential Model-Based Optimization (skopt),KNN,[8]
Sequential Model-Based Optimization (skopt),ANN,"{'optimizer': 'adam', 'activation': 'relu', 'neurons': 75, 'patience': 14, 'loss': 'mse'}"
Bayesian Optimization TPE,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 27.0, 'max_features': 5.0, 'min_samples_leaf': 1.0, 'min_samples_split': 6.0, 'n_estimators': 79.0}"
Bayesian Optimization TPE,SVM,"{'C': 122.83219662894265, 'epsilon': 0.5747694838097674, 'kernel': 'rbf'}"
Bayesian Optimization TPE,KNN,{'n_neighbors': 9.0}
Bayesian Optimization TPE,ANN,"{'activation': 'relu', 'batch_size': 16.0, 'epochs': 40.0, 'loss': 'mse', 'neurons': 80.0, 'optimizer': 'rmsprop', 'patience': 9.0}"
Particle Swarm Optimization,Random Forest,"{'n_estimators': 84.970703125, 'max_features': 4.17578125, 'max_depth': 27.3681640625, 'min_samples_split': 9.3916015625, 'min_samples_leaf': 1.498046875}"
