Procedura,Algoritmo,Best Params
Grid Search,Random Forest,"{'max_depth': 30, 'n_estimators': 30}"
Grid Search,SVM,"{'C': 100, 'epsilon': 1, 'kernel': 'rbf'}"
Grid Search,KNN,{'n_neighbors': 3}
Grid Search,ANN,"{'activation': 'relu', 'batch_size': 16, 'epochs': 50, 'loss': 'mse', 'neurons': 32, 'optimizer': 'rmsprop', 'patience': 2}"
Random Search,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 27, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 79}"
Random Search,SVM,"{'C': 35.741103485544414, 'epsilon': 0.29611870429959997, 'kernel': 'poly'}"
Random Search,KNN,{'n_neighbors': 4}
Random Search,ANN,"{'activation': 'relu', 'batch_size': 32, 'epochs': 50, 'loss': 'mse', 'neurons': 79, 'optimizer': 'rmsprop', 'patience': 19}"
Hyperband,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 26, 'max_features': 10, 'min_samples_leaf': 1, 'min_samples_split': 4}"
Hyperband,SVM,"{'C': 0.9495710534507421, 'gamma': 'scale', 'kernel': 'rbf'}"
Hyperband,KNN,{'n_neighbors': 3}
Hyperband,ANN,"{'activation': 'tanh', 'alpha': 0.06916799545513805, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (31,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.051588115054237216, 'max_iter': 100, 'solver': 'adam', 'validation_fraction': 0.1}"
Bayesian Optimization,Random Forest,"OrderedDict([('criterion', 'friedman_mse'), ('max_depth', 50), ('max_features', 12), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 100)])"
Bayesian Optimization,SVM,"OrderedDict([('C', 50.0), ('epsilon', 1.0), ('kernel', 'poly')])"
Bayesian Optimization,KNN,"OrderedDict([('n_neighbors', 3)])"
Bayesian Optimization,ANN,"OrderedDict([('activation', 'relu'), ('batch_size', 16), ('epochs', 20), ('loss', 'mse'), ('neurons', 89), ('optimizer', 'rmsprop'), ('patience', 5)])"
Sequential Model-Based Optimization (skopt),Random Forest,"[100, 48, 13, 2, 1, 'friedman_mse']"
Sequential Model-Based Optimization (skopt),SVM,"[40.6073250535935, 'poly', 0.47913904731008666]"
Sequential Model-Based Optimization (skopt),KNN,[2]
Sequential Model-Based Optimization (skopt),ANN,"{'optimizer': 'rmsprop', 'activation': 'tanh', 'neurons': 100, 'patience': 3, 'loss': 'mse'}"
Bayesian Optimization TPE,Random Forest,"{'criterion': 'friedman_mse', 'max_depth': 18.0, 'max_features': 8.0, 'min_samples_leaf': 2.0, 'min_samples_split': 6.0, 'n_estimators': 54.0}"
Bayesian Optimization TPE,SVM,"{'C': 86.10057483903432, 'epsilon': 1.0015364376509126, 'kernel': 'rbf'}"
Bayesian Optimization TPE,KNN,{'n_neighbors': 3.0}
Bayesian Optimization TPE,ANN,"{'activation': 'relu', 'batch_size': 32.0, 'epochs': 50.0, 'loss': 'mse', 'neurons': 90.0, 'optimizer': 'adam', 'patience': 21.0}"
Particle Swarm Optimization,Random Forest,"{'n_estimators': 68.75495975316764, 'max_features': 9.005859375, 'max_depth': 22.81862233439139, 'min_samples_split': 5.78933990008858, 'min_samples_leaf': 2.3008918604361903}"
Particle Swarm Optimization,SVM,"{'C': 46.8505859375, 'kernel': 0.20947265625, 'epsilon': 0.30908203125}"
Particle Swarm Optimization,KNN,{'n_neighbors': 4.302734375}
Particle Swarm Optimization,ANN,"{'optimizer': 0.98193359375, 'activation': 0.67724609375, 'loss': 0.88916015625, 'batch_size': 0.61962890625, 'neurons': 78.7744140625, 'epochs': 47.6416015625, 'patience': 12.07275390625}"
